gene name	annotation
JTB	gene
RAB13	gene
S100A8	gene
TPM3	gene
NUP210L	gene
SNAPIN	gene
SLC27A3	gene
S100A7	gene
UBAP2L	gene
SLC39A1	gene
HAX1	gene
CREB3L4	gene
EFNA3	gene
AQP10	gene
KCNN3	gene
C1orf43	gene
GATAD2B	gene
ILF2	gene
RIT1	gene
INTS3	gene
PKLR	gene
HCN3	gene
FLG	gene
ACTA1	gene
C1orf131	gene
GALNT2	gene
TTC13	gene
SCCPDH	gene
LYST	gene
RP5-862P8.2	gene
CEP170	gene
ACP1	gene
SNAP47	gene
SRP9	gene
NVL	gene
SDE2	gene
DEGS1	gene
FBXO28	gene
ARF1	gene
LEFTY2	gene
CNIH4	gene
ITPKB	gene
GUK1	gene
CDC42BPA	gene
CNIH3	gene
C1orf35	gene
MBOAT2	gene
PARP1	gene
PSEN2	gene
PYCR2	gene
LBR	gene
WNT9A	gene
EPHX1	gene
REN	gene
SOX13	gene
ETNK2	gene
PPFIA4	gene
PLEKHA6	gene
PTPN7	gene
SYT2	gene
ARL8A	gene
OSR1	gene
GDF7	gene
PDIA6	gene
RHOB	gene
ATP6V1C2	gene
HNRNPLL	gene
GALM	gene
CAMKMT	gene
ABCG8	gene
EML4	gene
CALM2	gene
CHAC2	gene
RPS27A	gene
WDPCP	gene
VPS54	gene
REG3G	gene
ASXL2	gene
ETAA1	gene
SNRPG	gene
ABHD1	gene
MEIS1	gene
TRIM43B	gene
TRIM43	gene
CIAO1	gene
ZNF514	gene
SNRNP200	gene
MRPS5	gene
ANKRD53	gene
TPRKB	gene
NAT8	gene
EXOC6B	gene
SFXN5	gene
TEX261	gene
DQX1	gene
DUSP11	gene
ST6GAL2	gene
NPHP1	gene
MALL	gene
THNSL2	gene
RALB	gene
C1QL2	gene
TMEM177	gene
NT5DC4	gene
RABL2A	gene
SLC20A1	gene
FBLN7	gene
RP11-395L14.17	gene
ZC3H8	gene
LIPT1	gene
TRIM43CP	gene
CNGA3	gene
FAHD2B	gene
LYG1	gene
AFF3	gene
UBXN4	gene
NXPH2	gene
SPOPL	gene
THSD7B	gene
GPR17	gene
POLR2D	gene
AMMECR1L	gene
GALNT13	gene
PKP4	gene
SCN1A	gene
SLC4A10	gene
SCRN3	gene
LNPK	gene
ZNF385B	gene
TMEFF2	gene
CDCA7	gene
DLX1	gene
UBR3	gene
PHOSPHO2	gene
GULP1	gene
FAM171B	gene
HSPD1	gene
CCDC150	gene
METTL21A	gene
UNC80	gene
PTH2R	gene
CPO	gene
NBEAL1	gene
KANSL1L	gene
SPAG16	gene
ABCA12	gene
SUMF1	gene
NYAP2	gene
RHBDD1	gene
ACKR3	gene
TRPM8	gene
HES6	gene
ESPNL	gene
ANKMY1	gene
COPS7B	gene
DIS3L2	gene
CPNE9	gene
FANCD2	gene
TAMM41	gene
VGLL4	gene
RAB5A	gene
FAM134A	gene
CTDSP1	gene
CNOT9	gene
MARCH4	gene
STK11IP	gene
GMPPA	gene
GRIP2	gene
EAF1	gene
CNTN4	gene
DYNC1LI1	gene
RBMS3	gene
GADL1	gene
OSBPL10	gene
POMGNT2	gene
ACKR2	gene
FAM198A	gene
CSRNP1	gene
SLC25A38	gene
ITGA9	gene
SLC22A14	gene
GOLGA4	gene
CTDSPL	gene
STAC	gene
IQSEC1	gene
CAND2	gene
RPL32	gene
PTPRG	gene
IL17RD	gene
SHQ1	gene
SLC25A26	gene
UBA3	gene
ARL6IP5	gene
TMF1	gene
LRIG1	gene
LRTM1	gene
RP11-977G19.10	gene
LIMD1	gene
ZNF660	gene
NFKBIZ	gene
COL8A1	gene
NXPE3	gene
ADGRG7	gene
MYH15	gene
PHLDB2	gene
ABHD10	gene
TAGLN3	gene
PLA1A	gene
RABL3	gene
ADPRH	gene
IGSF11	gene
ATG3	gene
NR1I2	gene
BOC	gene
SRPRB	gene
TMEM108	gene
AGTR1	gene
MED12L	gene
EIF2A	gene
ALDH1L1	gene
OSBPL11	gene
TRPC1	gene
NCEH1	gene
SPATA16	gene
FAM86B2	gene
LPP	gene
TMEM44	gene
RUBCN	gene
AMT	gene
TCTA	gene
NICN1	gene
UCN2	gene
DCAF1	gene
MANF	gene
AC062028.1	gene
CCDC39	gene
STXBP5L	gene
EAF2	gene
ILDR1	gene
TM4SF19	gene
MUC4	gene
SLIT2	gene
EIF2B5	gene
AHSG	gene
ECE2	gene
VWA5B2	gene
DGKQ	gene
FIP1L1	gene
SLC26A1	gene
LYAR	gene
CENPC	gene
EPHA5	gene
CORIN	gene
ATP10D	gene
OCIAD2	gene
SLC10A4	gene
SLC10A6	gene
SCD5	gene
PLAC8	gene
ENOPH1	gene
CABS1	gene
GC	gene
TRMT10A	gene
KLHL8	gene
SNCA	gene
PYURF	gene
TBCK	gene
CAMK2D	gene
CISD2	gene
DDIT4L	gene
ANK2	gene
TIFA	gene
SPATA5	gene
FABP2	gene
CCNA2	gene
METTL14	gene
USP53	gene
SETD7	gene
NAF1	gene
MARCH1	gene
SFRP2	gene
RPS3A	gene
RNF175	gene
PDGFC	gene
CBR4	gene
GLRA3	gene
CYP4V2	gene
ROPN1L	gene
NDUFS6	gene
MARCH6	gene
NKD2	gene
CDH18	gene
ADAMTS16	gene
SRD5A1	gene
MYO10	gene
FAM105A	gene
RPL37	gene
SKP2	gene
OSMR	gene
UGT3A1	gene
PLK2	gene
FAM159B	gene
GZMA	gene
PIK3R1	gene
HAPLN1	gene
LHFPL2	gene
SSBP2	gene
BHMT	gene
ANKRD31	gene
IQGAP2	gene
CRHBP	gene
RASA1	gene
LIX1	gene
GIN1	gene
PPIP5K2	gene
PAM	gene
BDP1	gene
GTF2H2	gene
SLC30A5	gene
BTF3	gene
FBXL17	gene
SPATA9	gene
TSLP	gene
TNFAIP8	gene
FEM1C	gene
COMMD10	gene
ATG12	gene
MEGF10	gene
ADAMTS19	gene
YIPF5	gene
ARHGAP26	gene
CXCL14	gene
LECT2	gene
SLC25A48	gene
DDX46	gene
CDKN2AIPNLP2	gene
IL9	gene
TIMD4	gene
RNF145	gene
C1QTNF2	gene
GABRA6	gene
GABRB2	gene
FBXO38	gene
SPINK7	gene
PCYOX1L	gene
GLRA1	gene
TNIP1	gene
G3BP1	gene
ZNF300	gene
N4BP3	gene
NHP2	gene
RMND5B	gene
BOD1	gene
CPLX2	gene
TENM2	gene
KCNMB1	gene
FAM50B	gene
MYLK4	gene
FAM217A	gene
TBC1D7	gene
FARS2	gene
GFOD1	gene
CDKAL1	gene
PCDHB18P	gene
PSD2	gene
LRRTM2	gene
ZMAT2	gene
GFRA3	gene
KLHL3	gene
DCDC2	gene
SLC17A4	gene
HIST1H2BA	gene
KAAG1	gene
TRIM7	gene
TRIM41	gene
HIGD2A	gene
FAM193B	gene
PLA2G7	gene
TNFRSF21	gene
RNF44	gene
MUT	gene
RASGEF1C	gene
DOK3	gene
ABT1	gene
PPP1R18	gene
DAAM2	gene
PRIM2	gene
MLIP	gene
HMGCLL1	gene
LGSN	gene
FGD2	gene
SCUBE3	gene
ANO7	gene
CRIP3	gene
TTBK1	gene
TCTE1	gene
RPL7L1	gene
NFKBIE	gene
CYP39A1	gene
TPBG	gene
IRAK1BP1	gene
PHIP	gene
PRSS35	gene
MMS22L	gene
FAXC	gene
GABRR1	gene
PNRC1	gene
PM20D2	gene
RARS2	gene
SCML4	gene
TBC1D32	gene
CLVS2	gene
GPR6	gene
RNF217	gene
RSPO3	gene
ARHGAP18	gene
TAAR2	gene
TAAR6	gene
TAAR8	gene
ABRACL	gene
TAAR1	gene
SLC18B1	gene
MTFR2	gene
SLC2A12	gene
SHPRH	gene
AIG1	gene
DYNLT1	gene
TIAM2	gene
TMEM181	gene
PNLDC1	gene
WTAP	gene
ZMYM4	gene
VIP	gene
ARMT1	gene
SLC22A3	gene
LINC01558	gene
VWDE	gene
GNA12	gene
C7orf50	gene
SDK1	gene
WASH2P	gene
CCZ1B	gene
C7orf26	gene
RBAK	gene
CREB5	gene
FERD3L	gene
EGFR	gene
LINC00525	gene
CDCA5	gene
IGFBP3	gene
PURB	gene
AC004453.8	gene
IGFBP1	gene
SSC4D	gene
MDH2	gene
POMZP3	gene
AC006014.8	gene
GBAS	gene
CCT6A	gene
PSPH	gene
TRIM50	gene
ZNF92	gene
ATXN7L1	gene
TMEM168	gene
ASB15	gene
C7orf43	gene
SLC12A9	gene
GIGYF1	gene
TRIM4	gene
MEPCE	gene
ZAN	gene
TMEM209	gene
AGBL3	gene
STRA8	gene
ZC3HAV1L	gene
TMEM140	gene
TLK2	gene
EPHA1	gene
NOM1	gene
CNPY1	gene
NCAPG2	gene
ASB10	gene
NLGN4X	gene
SHROOM2	gene
RAB19	gene
LUC7L2	gene
DENND2A	gene
TMEM27	gene
SH3KBP1	gene
TMEM47	gene
LANCL3	gene
SYTL5	gene
CASK	gene
KDM6A	gene
SPIN2A	gene
MSN	gene
AKAP4	gene
CCNB3	gene
HDAC8	gene
SLC16A2	gene
CXorf36	gene
ZNF157	gene
ZNF182	gene
CHST7	gene
KRBOX4	gene
NDUFB11	gene
ZNF41	gene
RAB41	gene
ZMYM3	gene
TAF1	gene
GPR174	gene
NONO	gene
CCDC120	gene
LPAR4	gene
EBP	gene
AWAT2	gene
OGT	gene
SNX12	gene
ITGB1BP2	gene
IL2RG	gene
ACRC	gene
ZNF711	gene
CPXCR1	gene
DIAPH2	gene
NXF3	gene
RIPPLY1	gene
PRPS1	gene
CXorf57	gene
FRMPD3	gene
HTR2C	gene
DOCK11	gene
IGSF1	gene
ARHGAP36	gene
GPC3	gene
GPR119	gene
RBMX	gene
MCPH1	gene
MFHAS1	gene
FBXO25	gene
FATE1	gene
MAGEA4	gene
NSDHL	gene
ZNF185	gene
CETN2	gene
RPL10	gene
CSGALNACT1	gene
ATP6V1B2	gene
CCDC25	gene
HMBOX1	gene
CHRNB3	gene
CHRNA6	gene
GNRH1	gene
BIN3	gene
DOK2	gene
SLC25A37	gene
CHMP7	gene
DOCK5	gene
STAR	gene
PROSC	gene
ERLIN2	gene
SNTG1	gene
PXDNL	gene
ST18	gene
RGS20	gene
TACC1	gene
GOLGA7	gene
PLPP5	gene
GINS4	gene
WHSC1L1	gene
DNAJC5B	gene
CRH	gene
TRIM55	gene
ADHFE1	gene
MRPS28	gene
PMP2	gene
LACTB2	gene
PRDM14	gene
TERF1	gene
RPL7	gene
SLC26A7	gene
PSKH2	gene
ATP6V0D2	gene
SYBU	gene
DPYS	gene
MTDH	gene
LRP12	gene
EBAG9	gene
RSPO2	gene
POLR2K	gene
MAL2	gene
EIF3H	gene
UTP23	gene
NDUFB9	gene
TATDN1	gene
FAM83A	gene
GSDMC	gene
FAM135B	gene
TTTY7	gene
TTTY7B	gene
ZNF7	gene
ARHGAP39	gene
SLC39A4	gene
NAPRT	gene
VLDLR	gene
AK3	gene
UHRF2	gene
NFIB	gene
CER1	gene
PLIN2	gene
IFNA5	gene
HAUS6	gene
CDKN2B	gene
IFNA16	gene
CDKN2A	gene
C9orf72	gene
IFNK	gene
ZCCHC7	gene
FBXO10	gene
SIGMAR1	gene
CBWD5	gene
CEP78	gene
NTRK2	gene
IDNK	gene
SHC3	gene
AUH	gene
MFSD14B	gene
C9orf3	gene
PLPPR1	gene
OR13C4	gene
ZNF462	gene
INIP	gene
UGCG	gene
ACTL7B	gene
SNX30	gene
STOM	gene
GSN	gene
MRRF	gene
NR6A1	gene
CRB2	gene
OR5C1	gene
ALAD	gene
ASTN2	gene
WDR31	gene
POLE3	gene
SURF4	gene
GBGT1	gene
SURF1	gene
SURF2	gene
SURF6	gene
MED22	gene
REXO4	gene
RPL7A	gene
GTF3C5	gene
ASB6	gene
PTGES2	gene
NTMT1	gene
CIZ1	gene
SLC25A25	gene
SH3GLB2	gene
MIGA2	gene
PTGES	gene
LCN2	gene
LRSAM1	gene
HMCN2	gene
GPR107	gene
C9orf142	gene
IDI2	gene
INPP5E	gene
LCN9	gene
SEC16A	gene
DPH7	gene
NOTCH1	gene
CACNA1B	gene
NACC2	gene
PROSER2	gene
USP6NL	gene
COMMD3	gene
MSRB2	gene
PDSS1	gene
FAM171A1	gene
FAM188A	gene
SLC39A12	gene
TMEM236	gene
RSU1	gene
ST8SIA6	gene
PARD3	gene
ANKRD30A	gene
ZEB1	gene
FAM13C	gene
NRBF2	gene
A1CF	gene
CDHR1	gene
LRIT1	gene
RGR	gene
POLR3A	gene
HERC4	gene
C10orf11	gene
CAMK2G	gene
ADIRF	gene
GLUD1	gene
ANKRD1	gene
HTR7	gene
RPP30	gene
FRA10AC1	gene
ADD3	gene
HABP2	gene
VAX1	gene
DNAJB12	gene
EIF4EBP2	gene
NPFFR1	gene
PLEKHS1	gene
TCF7L2	gene
MKI67	gene
CYP17A1	gene
INA	gene
FUOM	gene
LRRC27	gene
MTG1	gene
NKX6-2	gene
PAOX	gene
GSTO1	gene
TAF5	gene
PPRC1	gene
ITPRIP	gene
CNNM2	gene
PDCD11	gene
ADAM12	gene
RGS10	gene
BTBD10	gene
ADM	gene
GAS2	gene
SLC5A12	gene
LIN7C	gene
LRRC4C	gene
IMMP1L	gene
SAA4	gene
PGAP2	gene
TUT1	gene
SCGB1A1	gene
SYT8	gene
ZNF214	gene
ZNF215	gene
HSD17B12	gene
APIP	gene
PAMR1	gene
DGKZ	gene
EIF3M	gene
TNKS1BP1	gene
GLYAT	gene
SERPING1	gene
OR5F1	gene
SSRP1	gene
SLC43A1	gene
PTPRJ	gene
C11orf49	gene
ARFGAP2	gene
CELF1	gene
HIKESHI	gene
CCDC81	gene
SESN3	gene
ENDOD1	gene
CCDC82	gene
KLHL35	gene
TENM4	gene
SERPINH1	gene
CAPN5	gene
INTS4	gene
PAK1	gene
RPS3	gene
ZC3H12C	gene
TTC12	gene
NCAM1	gene
DRD2	gene
C11orf52	gene
HTR3B	gene
NPAT	gene
ATM	gene
AASDHPPT	gene
GLB1L2	gene
SLX4IP	gene
LAMTOR1	gene
P4HA3	gene
GRIK4	gene
ST14	gene
HYOU1	gene
GGTLC1	gene
C20orf78	gene
ADAM33	gene
SLC22A8	gene
KAT14	gene
TKFC	gene
MTA2	gene
TMEM138	gene
FADS1	gene
TMC2	gene
ROM1	gene
EML3	gene
INCENP	gene
ZP1	gene
OOSP2	gene
MS4A3	gene
PLCH2	gene
FRG1BP	gene
CPSF7	gene
MS4A2	gene
B3GAT3	gene
EI24	gene
CCDC15	gene
CHEK1	gene
FEZ1	gene
ESAM	gene
KIRREL3	gene
MPZL2	gene
SCN2B	gene
SIDT2	gene
TMEM25	gene
TAGLN	gene
JPH2	gene
DUSP15	gene
COMMD7	gene
C20orf144	gene
KIAA1755	gene
SPATA25	gene
OCSTAMP	gene
DSN1	gene
SOGA1	gene
CNBD2	gene
SPINT4	gene
CDH22	gene
LINC00266-1	gene
LSM14B	gene
YTHDF1	gene
CABLES2	gene
ORAOV1	gene
GPHA2	gene
SLC22A9	gene
TRPT1	gene
NUDT22	gene
FERMT3	gene
PLCB3	gene
MRPL49	gene
CDC42EP2	gene
FAU	gene
TM7SF2	gene
VPS51	gene
TBX6	gene
PPP4C	gene
ALDOA	gene
FAM57B	gene
DOC2A	gene
HIRIP3	gene
TAOK2	gene
TMEM219	gene
HMGA2	gene
MMP3	gene
CNKSR2	gene
CNTN5	gene
KLRF1	gene
CLEC1A	gene
MKX	gene
MPP7	gene
AL356053.1	gene
ITGB1	gene
FRMPD2B	gene
FXYD4	gene
TRIM48	gene
OR8K1	gene
OR5M9	gene
PCDH15	gene
PPIAP26	gene
CTF1	gene
CWC15	gene
FCGR1A	gene
ARID5B	gene
KLHL1	gene
CDH8	gene
DCUN1D2	gene
TMCO3	gene
TMEM218	gene
TIRAP	gene
EEF1AKMT1	gene
LATS2	gene
SAP18	gene
ADGRL3	gene
KIAA1328	gene
FAM124A	gene
MIA2	gene
CTAGE5	gene
HNMT	gene
LYPD1	gene
LYPD6B	gene
PDCD4	gene
ADRA2A	gene
GPM6A	gene
WDR17	gene
SPATA4	gene
VEGFC	gene
CCDC102B	gene
CD226	gene
CNDP1	gene
FSIP1	gene
DLG2	gene
CCDC83	gene
RGS18	gene
PRSS23	gene
MTMR12	gene
PPP1R1C	gene
RP11-134C1.1	gene
C11orf53	gene
CCT5	gene
FAM173B	gene
DOCK1	gene
DIXDC1	gene
DLAT	gene
PIH1D2	gene
C11orf57	gene
TIMM8B	gene
IL18	gene
TEX12	gene
PTS	gene
PIP4K2A	gene
C2orf50	gene
FREM2	gene
FOXO1	gene
CRIM1	gene
SEC24D	gene
ABCB9	gene
RILPL2	gene
DHX37	gene
UBC	gene
ITPR1	gene
TKTL2	gene
PRSS53	gene
SLC7A11	gene
NOCT	gene
ENKUR	gene
GPR158	gene
LYZL2	gene
CACNA2D4	gene
DCP1B	gene
CACNA1C	gene
KCNA6	gene
THRB	gene
NGLY1	gene
OXSM	gene
UEVLD	gene
TMEM86A	gene
C12orf45	gene
TMEM263	gene
BTBD11	gene
UBE3B	gene
ANK3	gene
IPMK	gene
RAD9B	gene
PLBD2	gene
DLG5	gene
MAT1A	gene
SLC2A13	gene
GXYLT1	gene
TWF1	gene
DIP2C	gene
EIF4E	gene
MAGI1	gene
TEX30	gene
CSNK1G3	gene
RP11-96C23.13	gene
SRFBP1	gene
AKAP6	gene
NPAS3	gene
FAM177A1	gene
MBIP	gene
MIPOL1	gene
EXT2	gene
TMEM18	gene
ALLC	gene
KCTD14	gene
THRSP	gene
NDUFC2	gene
ME3	gene
MSGN1	gene
ADAMTS12	gene
NUBPL	gene
NEK7	gene
ATP6V1G3	gene
FER	gene
VIPAS39	gene
ANKRD50	gene
UPF2	gene
CDC123	gene
SCLT1	gene
CCDC3	gene
C4orf33	gene
FRMD4A	gene
SLC25A31	gene
PTPRO	gene
EPS8	gene
ACAD8	gene
THYN1	gene
VPS26B	gene
NCAPD3	gene
VTI1A	gene
QDPR	gene
FAM160B1	gene
ANO4	gene
TEX9	gene
QTRT2	gene
DRD3	gene
MMAA	gene
ZNF827	gene
POU4F2	gene
EDNRA	gene
NR3C2	gene
AKR1C6P	gene
AKR1C2	gene
DPYSL4	gene
VENTX	gene
ADAM8	gene
ITIH2	gene
KIN	gene
PIGF	gene
ANKAR	gene
INPP1	gene
MFSD6	gene
RNF144A	gene
ASAP2	gene
ADAM17	gene
FLI1	gene
KCNJ1	gene
TMEM45B	gene
WWC2	gene
CENPU	gene
ACSL1	gene
SLC25A4	gene
AMN1	gene
BICD1	gene
SAV1	gene
CCDC122	gene
SERP2	gene
NBAS	gene
ZNF385D	gene
TDO2	gene
GUF1	gene
SLC35F4	gene
GABRA2	gene
SACS	gene
CCDC175	gene
PABPC3	gene
CENPJ	gene
FBXO4	gene
TMEM267	gene
CCL28	gene
PARP8	gene
GFRA1	gene
CACUL1	gene
DST	gene
BEND6	gene
TIAL1	gene
BAG3	gene
GLT1D1	gene
TMEM132D	gene
RBM46	gene
ZNF37CP	gene
SCHIP1	gene
MCHR2	gene
KCNE4	gene
AP1S3	gene
RABGAP1L	gene
CCDC74B	gene
TMEM56	gene
MZT2B	gene
TUBA3E	gene
ASTN1	gene
CFC1B	gene
FAM168B	gene
PTPN14	gene
AC093838.4	gene
MGAT5	gene
TMEM163	gene
GPATCH11	gene
HSPB8	gene
GEMIN6	gene
TMEM178A	gene
POU4F1	gene
RNF219	gene
CYSLTR2	gene
GRID2	gene
ARL11	gene
RIT2	gene
SETBP1	gene
ARL14EP	gene
EPG5	gene
PSTPIP2	gene
ATP5A1	gene
HAUS1	gene
C18orf25	gene
SPC25	gene
G6PC2	gene
PDK1	gene
PTH	gene
PDE3B	gene
TCF7L1	gene
TGOLN2	gene
SH2D6	gene
KCNK13	gene
UHMK1	gene
ATG10	gene
POC5	gene
SPOCK1	gene
FAM151B	gene
TADA1	gene
GUCY1A2	gene
CWF19L2	gene
JMY	gene
HOMER1	gene
XRCC4	gene
BOLL	gene
ZNF547	gene
ZNF773	gene
ZNF776	gene
ZNF256	gene
SUV39H2	gene
DCLRE1C	gene
OLAH	gene
RPP38	gene
NMT2	gene
ZSCAN1	gene
ZNF837	gene
USP12	gene
CCDC50	gene
CAMK4	gene
TRIM36	gene
ZFP36L2	gene
PAN3	gene
PLEKHH2	gene
PFKM	gene
TMEM123	gene
GRIA4	gene
IGSF10	gene
SPEF2	gene
SPARCL1	gene
DSPP	gene
DMP1	gene
MEPE	gene
MBNL1	gene
CAPSL	gene
NADK2	gene
GPD1L	gene
GJA1	gene
CCNO	gene
DDX4	gene
CLEC4F	gene
SLC30A6	gene
PELO	gene
RASGRP3	gene
SAR1B	gene
CATSPER3	gene
GPR180	gene
TCTEX1D1	gene
WDR78	gene
ANKRD22	gene
FARP1	gene
IFIT5	gene
SLC16A12	gene
PANK1	gene
PRDM8	gene
BMP3	gene
HNRNPDL	gene
HHEX	gene
UTRN	gene
GRM1	gene
PTPRK	gene
GGPS1	gene
CNTNAP4	gene
ZNF117	gene
PART1	gene
RAB3C	gene
LMNTD1	gene
MARVELD2	gene
RAD17	gene
MED21	gene
PLOD2	gene
STK32B	gene
NRSN1	gene
JAKMIP1	gene
ZIC1	gene
ADGRA3	gene
CPB1	gene
SREK1IP1	gene
LGI2	gene
CWC27	gene
MR1	gene
SRP19	gene
CENPH	gene
CDYL	gene
CARHSP1	gene
TEKT5	gene
BANK1	gene
TXNDC11	gene
DAB2	gene
ACMSD	gene
ACOXL	gene
BCL2L11	gene
ANAPC1	gene
CAST	gene
SCOC	gene
CLGN	gene
CETN3	gene
SMARCA5	gene
SYCP2L	gene
BMP6	gene
RGPD3	gene
RASSF3	gene
HNRNPU	gene
RANBP2	gene
AHCTF1	gene
MERTK	gene
TMEM87B	gene
OR14K1	gene
PTPRR	gene
NR4A2	gene
CCDC148	gene
PLA2R1	gene
RBMS1	gene
SCN3A	gene
FEZF2	gene
CD96	gene
SLC25A27	gene
ADGRF1	gene
ADGRF4	gene
FRMD1	gene
FAM49B	gene
ASAP1	gene
TRAPPC8	gene
FAM81B	gene
LINC00467	gene
INO80C	gene
LPCAT1	gene
PLEKHG4B	gene
NMRAL1	gene
UBALD1	gene
C16orf89	gene
TMEM251	gene
ING1	gene
TEX29	gene
SPACA7	gene
ADPRHL1	gene
CMTM7	gene
FBXL2	gene
UBP1	gene
RMND5A	gene
CD8A	gene
RPIA	gene
GOLGA8F	gene
PTPRD	gene
LURAP1L	gene
CNKSR3	gene
GTF2E1	gene
CFDP1	gene
TGIF2LX	gene
ZDHHC7	gene
FAM92B	gene
C7orf31	gene
TMPRSS11D	gene
JAZF1	gene
CMIP	gene
SPHKAP	gene
KCNJ16	gene
PID1	gene
TRIP12	gene
FBXO36	gene
CEBPG	gene
KCTD15	gene
ZNF599	gene
MCOLN2	gene
LGI4	gene
DDAH1	gene
SREK1	gene
CHD1	gene
CLCA3P	gene
ANKFN1	gene
DGKE	gene
HS2ST1	gene
MSI2	gene
CACNA2D1	gene
ZUFSP	gene
HS3ST3A1	gene
GDPD1	gene
NUS1	gene
SEMA3D	gene
PPP2R5E	gene
ASB17	gene
GRAP	gene
SLC5A10	gene
AK5	gene
CABYR	gene
IMPACT	gene
ANKRD29	gene
SDHAF4	gene
CHST9	gene
THY1	gene
DNAAF1	gene
C16orf74	gene
TBCEL	gene
JPH3	gene
ANKH	gene
OTULIN	gene
UBASH3B	gene
ROBO4	gene
ROBO3	gene
PANX3	gene
TBRG1	gene
NRGN	gene
FAM134B	gene
CDH12	gene
GPR15	gene
TOMM70	gene
ABI3BP	gene
ANGPT1	gene
CYP4Z2P	gene
PITPNC1	gene
CC2D1B	gene
CERS3	gene
PRKCA	gene
LRRK1	gene
CEP112	gene
GAL3ST2	gene
ABCA9	gene
ABCA6	gene
ABCA10	gene
ABCA5	gene
ENPP3	gene
C4orf19	gene
UCHL1	gene
MIA3	gene
DISP1	gene
TNIK	gene
TDH	gene
FAM167A	gene
NEIL2	gene
PGM5	gene
WNT3A	gene
OBSCN	gene
LONRF1	gene
TRIM11	gene
ENAH	gene
PPP1R3A	gene
CCSAP	gene
ASZ1	gene
SH3RF1	gene
GBP5	gene
BUB3	gene
GPR26	gene
CCDC173	gene
MMP21	gene
C10orf90	gene
FAM69A	gene
ATP5G3	gene
CNTNAP3B	gene
FAM27C	gene
MAGED4	gene
SRSF12	gene
PDLIM3	gene
SORBS2	gene
TCEB1	gene
LY96	gene
CEP170P1	gene
PSMA8	gene
TMSB4Y	gene
CXADR	gene
BTG3	gene
C21orf91	gene
CHODL	gene
TMPRSS15	gene
NCAM2	gene
L3MBTL4	gene
PDE1C	gene
RABGEF1	gene
MRPL39	gene
JAM2	gene
ATP5J	gene
GABPA	gene
ADAMTS1	gene
ADAMTS5	gene
TSEN2	gene
SLFN13	gene
WNT7A	gene
XPC	gene
CCDC174	gene
FGD5	gene
FLCN	gene
DPH3	gene
OXNAD1	gene
PLCL2	gene
CXXC1	gene
SKA1	gene
PPP4R1	gene
APCDD1	gene
PIEZO2	gene
CCDC144B	gene
MPPE1	gene
CCDC144CP	gene
USP43	gene
RAB6B	gene
EME1	gene
EPHB1	gene
ACSS1	gene
ANKRD40	gene
ZNF18	gene
CA10	gene
VOPP1	gene
SEPT14	gene
APOOL	gene
DKK2	gene
CYP2U1	gene
RSPH10B	gene
FBXL18	gene
CNTNAP5	gene
PROM2	gene
UNC93B2	gene
AK9	gene
ODF1	gene
KLF10	gene
PTPRN2	gene
AZIN1	gene
ATP6V1C1	gene
TMEM55A	gene
OTUD6B	gene
CDK19	gene
GTF3C6	gene
TTC39B	gene
AGPAT5	gene
MMS19	gene
OR4K1	gene
PI4K2A	gene
MARVELD1	gene
ZFYVE27	gene
GOLGA7B	gene
GPR78	gene
TRMT44	gene
SLC25A28	gene
HSPA13	gene
SAMSN1	gene
USP25	gene
GRAMD3	gene
ZCCHC10	gene
C16orf87	gene
MOV10	gene
RHOC	gene
PPM1J	gene
DBI	gene
SLC16A1	gene
HEATR3	gene
TRIM74	gene
NIFK	gene
OXA1L	gene
SLC7A7	gene
MAGEC1	gene
LARP1	gene
CNOT8	gene
GRIA1	gene
LRGUK	gene
SETD9	gene
MIER3	gene
NUP205	gene
ZKSCAN2	gene
C9orf85	gene
XAGE2	gene
PIK3AP1	gene
RBM45	gene
none	gene
TTN	gene
VSIG4	gene
PDIA4	gene
KDM8	gene
PDZD9	gene
OTOA	gene
KCTD18	gene
FAM126B	gene
ALS2CR12	gene
ALS2CR11	gene
TMEM237	gene
FZD7	gene
SPAG17	gene
DEPTOR	gene
FMN2	gene
RNF20	gene
CYLC2	gene
PPARGC1B	gene
ELMO1	gene
SLC26A2	gene
LSM11	gene
MED7	gene
SAXO1	gene
RRAGA	gene
SLC24A2	gene
TRIM42	gene
PXYLP1	gene
ADCY8	gene
RASA2	gene
RMND1	gene
RAET1L	gene
SLA	gene
TMBIM4	gene
VBP1	gene
RAB39B	gene
CLIC2	gene
AFF2	gene
MICU3	gene
GRIP1	gene
VPS37A	gene
KIF5A	gene
NAT2	gene
MAGEA8	gene
PSD3	gene
CARNMT1	gene
MCU	gene
ELMSAN1	gene
CFAP70	gene
GNA14	gene
FAM161B	gene
GNAQ	gene
WIF1	gene
UGT2B4	gene
GPR61	gene
MMP16	gene
ADK	gene
KCNMA1	gene
BATF	gene
DCK	gene
ADAMTS3	gene
ALX3	gene
DPY19L4	gene
NDUFAF6	gene
DRAM2	gene
C8orf37	gene
PPEF2	gene
CFAP161	gene
ADAMTSL3	gene
ART3	gene
SLC28A1	gene
WHAMM	gene
CXCL13	gene
N6AMT1	gene
RWDD2B	gene
USP16	gene
CCT8	gene
MAP3K7CL	gene
NAA11	gene
BACH1	gene
CLDN17	gene
CLDN8	gene
TSPAN7	gene
TIAM1	gene
SCAF4	gene
RPGR	gene
CDK20	gene
